"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D6BF600","BCC","5/11/2021 11:26:28 AM","01","100","Steelhead","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:12:09 AM","18","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:12:35 AM","16","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:14:34 AM","13","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:15:20 AM","12","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:31:58 AM","0F","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:31:59 AM","0F","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:35:20 AM","0D","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:37:03 AM","0C","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:37:04 AM","0C","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:37:06 AM","0C","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:37:07 AM","0C","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:39:00 AM","09","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:40:12 AM","08","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:40:13 AM","08","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO3","9/25/2022 8:43:22 AM","03","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:11:08 AM","04","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:11:09 AM","04","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:13:16 AM","03","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:13:17 AM","03","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:15:32 AM","02","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:15:33 AM","02","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:17:44 AM","01","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","BO4","9/25/2022 9:17:45 AM","01","110","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","CLWH","9/30/2020 12:46:46 PM","NA","0","Steelhead","Hatchery Reared","Mark","Hatchery","NEWSOC","4/5/2021 7:00:00 AM","1"
"3D9.1C2D6BF600","GOA","10/2/2022 7:41:02 AM","02","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GOA","10/2/2022 7:41:03 AM","01","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GOA","10/2/2022 7:41:04 AM","01","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/3/2022 5:15:17 PM","B4","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 12:13:12 AM","12","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 12:13:12 AM","14","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 12:13:12 AM","16","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 12:13:12 AM","18","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:48:58 AM","08","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:48:59 AM","08","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:49:37 AM","06","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:49:38 AM","06","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:49:39 AM","06","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:49:40 AM","06","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:50:13 AM","04","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:51:05 AM","04","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:51:06 AM","04","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:51:07 AM","04","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:52:59 AM","02","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 6:53:00 AM","02","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 7:02:36 AM","A2","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 7:02:37 AM","A2","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRA","10/4/2022 7:02:51 AM","A1","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","GRS","5/1/2021 3:57:32 PM","05","100","Steelhead","Hatchery Reared","Observation","Spillway","","","1"
"3D9.1C2D6BF600","GRS","5/1/2021 3:57:32 PM","09","100","Steelhead","Hatchery Reared","Observation","Spillway","","","1"
"3D9.1C2D6BF600","ICH","9/30/2022 11:00:56 AM","07","110","Steelhead","Hatchery Reared","Observation","Combined Dam Location","","","1"
"3D9.1C2D6BF600","ICH","9/30/2022 11:00:57 AM","07","110","Steelhead","Hatchery Reared","Observation","Combined Dam Location","","","1"
"3D9.1C2D6BF600","ICH","9/30/2022 11:01:22 AM","06","110","Steelhead","Hatchery Reared","Observation","Combined Dam Location","","","1"
"3D9.1C2D6BF600","ICH","9/30/2022 11:02:25 AM","03","110","Steelhead","Hatchery Reared","Observation","Combined Dam Location","","","1"
"3D9.1C2D6BF600","ICH","9/30/2022 11:02:26 AM","03","110","Steelhead","Hatchery Reared","Observation","Combined Dam Location","","","1"
"3D9.1C2D6BF600","ICH","9/30/2022 11:03:20 AM","02","110","Steelhead","Hatchery Reared","Observation","Combined Dam Location","","","1"
"3D9.1C2D6BF600","ICH","9/30/2022 11:03:21 AM","02","110","Steelhead","Hatchery Reared","Observation","Combined Dam Location","","","1"
"3D9.1C2D6BF600","JO1","9/27/2022 7:21:59 AM","07","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","JO1","9/27/2022 7:22:00 AM","07","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","JO1","9/27/2022 7:25:01 AM","04","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","LMA","10/1/2022 9:03:36 AM","04","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","LMA","10/1/2022 9:03:37 AM","04","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","LMA","10/1/2022 9:03:47 AM","03","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","LMA","10/1/2022 9:03:48 AM","03","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 7:49:13 AM","12","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 7:49:54 AM","10","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 7:53:06 AM","0E","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 7:53:50 AM","0C","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 7:55:38 AM","0A","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 7:57:17 AM","08","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 7:58:46 AM","06","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 8:00:04 AM","04","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 8:31:51 AM","03","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 8:31:52 AM","03","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 8:31:56 AM","02","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 8:31:57 AM","02","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","MC2","9/29/2022 8:32:02 AM","01","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D6BF600","SC1","11/1/2022 9:18:29 PM","B5","110","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC1","11/8/2022 6:05:30 PM","B7","110","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC1","1/14/2023 7:53:19 PM","B5","110","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC2","1/15/2023 9:32:27 PM","A1","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC2","1/15/2023 9:34:00 PM","A1","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","4/21/2023 5:20:03 PM","05","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 11:44:12 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 11:59:24 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 12:07:56 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 12:26:53 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 12:33:14 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 12:38:20 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 4:28:40 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 4:37:43 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 4:41:34 PM","02","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/7/2023 4:46:54 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 8:36:08 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 8:43:48 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 8:51:28 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 9:52:09 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 9:58:41 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 10:12:20 AM","02","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 10:12:22 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 10:33:45 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 10:54:08 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 12:18:29 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 12:27:40 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 12:56:48 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 1:12:31 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 1:58:17 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 2:24:45 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 2:29:48 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 2:52:06 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 2:58:42 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 4:07:26 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 4:12:25 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 4:17:53 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 4:31:18 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 4:36:23 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 6:34:15 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 6:56:48 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/8/2023 7:19:00 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 4:25:02 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 5:30:54 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 5:41:45 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 6:23:52 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 7:50:23 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 7:59:32 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 8:32:37 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 8:38:02 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 8:46:06 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 8:46:10 AM","02","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 8:51:05 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 9:01:48 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 9:06:48 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 9:13:30 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 9:20:25 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 9:39:56 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 9:51:24 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 9:58:23 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 10:04:45 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 10:11:56 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 10:23:11 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 10:29:53 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 11:04:17 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 11:19:01 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 12:20:34 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 12:20:34 PM","02","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 12:31:05 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 12:46:16 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 3:22:12 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 3:30:40 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 3:56:26 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 4:04:10 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 6:40:59 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 6:59:08 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 7:09:45 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 7:20:29 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 7:26:10 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/9/2023 11:57:33 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 12:43:36 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 2:16:37 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 2:28:18 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 2:59:14 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 3:30:36 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 3:31:31 AM","02","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 3:46:08 AM","02","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 4:03:02 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 4:08:31 AM","02","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 5:33:37 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 5:42:02 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 5:47:34 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 5:55:50 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 6:16:42 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 6:33:00 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 6:40:26 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 7:22:34 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 7:39:06 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 8:09:55 AM","05","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 8:53:46 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 10:29:29 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 10:36:45 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 10:44:23 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 11:58:18 AM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 1:29:17 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 2:23:12 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 2:28:26 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 2:49:53 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 3:30:29 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 4:15:03 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 4:23:06 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 4:31:50 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 4:51:45 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 5:29:56 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
"3D9.1C2D6BF600","SC3","5/10/2023 5:35:12 PM","01","100","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","","","1"
