species,spawn_year,node,tags_at_node,tags_above_node,tags_resighted,est_tags_at_node,est_tags_se,eff_est,eff_se
Steelhead,2022,SC1,329,270,252,352,2.8,0.9346590909090909,0.007434788223140495
Steelhead,2022,SC2,246,71,47,370,27.4,0.6648648648648648,0.04923593864134405
Steelhead,2022,SC3,66,12,7,108,21.1,0.6111111111111112,0.11939300411522635
Steelhead,2022,SC4,11,3,2,15,3.5,0.7333333333333333,0.1711111111111111
Steelhead,2022,CRA,3,0,0,3,0,1,0
Steelhead,2023,SC1,577,500,487,592,1.7,0.9746621621621622,0.002798860938641344
Steelhead,2023,SC2,486,79,65,589,28.1,0.8251273344651953,0.03936515806192188
Steelhead,2023,SC3,79,12,12,79,0,1,0
Steelhead,2023,SC4,12,3,3,12,0,1,0
Steelhead,2023,CRA,3,0,0,3,0,1,0
Chinook,2022,SC1,174,170,146,203,2.5,0.8571428571428571,0.01055594651653765
Chinook,2022,SC2,106,137,73,199,8.7,0.5326633165829145,0.02328729072498169
Chinook,2022,SC3,133,110,106,138,1.1,0.9637681159420289,0.007682209619827768
Chinook,2022,SC4,108,11,9,130,15.3,0.8307692307692308,0.09777514792899408
Chinook,2022,CRA,11,0,0,11,0,1,0
Chinook,2023,SC1,149,141,132,159,1.2,0.9371069182389937,0.007072505043313159
Chinook,2023,SC2,112,108,79,153,4.8,0.7320261437908496,0.02296552607971293
Chinook,2023,SC3,108,91,91,108,0,1,0
Chinook,2023,SC4,90,10,9,99,8.6,0.9090909090909091,0.07897153351698806
Chinook,2023,CRA,10,0,0,10,0,1,0
